,hour,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,click
3640120,,,,,,,,,,,,,,0.0
3640147,,,,,,,,,,,,,,0.0
3640157,,,,,,,,,,,,,,1.0
3640161,,,,,,,,,,,,,,0.0
3640166,,,,,,,,,,,,,,0.0
3640172,,,,,,,,,,,,,,0.0
3640173,,,,,,,,,,,,,,0.0
3640187,14102119.0,0.0,e3c09f3a,d262cf1e,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,af9205f9,3bb1ddd7,1.0,0.0,
3640189,,,,,,,,,,,,,,0.0
3640193,,,,,,,,,,,,,,0.0
3640196,,,,,,,,,,,,,,1.0
3640200,,,,,,,,,,,,,,0.0
3640205,,,,,,,,,,,,,,1.0
3640207,,,,,,,,,,,,,,0.0
3640210,14102119.0,0.0,84c7ba46,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,c357dbff,9cc8151b,373ecbe6,0.0,0.0,
3640221,,,,,,,,,,,,,,0.0
3640261,,,,,,,,,,,,,,1.0
3640268,,,,,,,,,,,,,,0.0
3640276,,,,,,,,,,,,,,0.0
3640279,,,,,,,,,,,,,,0.0
3640285,14102119.0,0.0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,57cd4006,711ee120,1.0,0.0,
3640296,14102119.0,0.0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,d6a14b9f,36d749e5,1.0,0.0,
3640312,14102119.0,1.0,5ee41ff2,17d996e6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,59318c7d,4ceb2e0b,1.0,0.0,
3640316,,,,,,,,,,,,,,0.0
3640319,,,,,,,,,,,,,,0.0
3640328,,,,,,,,,,,,,,0.0
3640332,,,,,,,,,,,,,,0.0
3640354,,,,,,,,,,,,,,0.0
3640360,,,,,,,,,,,,,,0.0
3640369,,,,,,,,,,,,,,0.0
3640370,,,,,,,,,,,,,,0.0
3640376,,,,,,,,,,,,,,0.0
3640377,,,,,,,,,,,,,,0.0
3640382,,,,,,,,,,,,,,0.0
3640385,,,,,,,,,,,,,,1.0
3640390,,,,,,,,,,,,,,1.0
3640404,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,1779deee,2347f47a,f95efa07,a99f214a,068bd873,82f41bba,1.0,0.0,
3640407,,,,,,,,,,,,,,0.0
3640412,14102119.0,1.0,85f751fd,c4e18dd6,50e219e0,cf0327f9,2347f47a,0f2161f8,fbf6e6e0,5da927ac,526fa832,1.0,0.0,
3640429,,,,,,,,,,,,,,1.0
3640436,,,,,,,,,,,,,,0.0
3640460,,,,,,,,,,,,,,0.0
3640462,,,,,,,,,,,,,,0.0
3640464,,,,,,,,,,,,,,0.0
3640471,,,,,,,,,,,,,,0.0
3640476,,,,,,,,,,,,,,0.0
3640480,,,,,,,,,,,,,,0.0
3640481,,,,,,,,,,,,,,0.0
3640506,14102119.0,0.0,9ee9dd00,759d1c56,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,46d20ac7,fa61e8fe,1.0,0.0,
3640508,,,,,,,,,,,,,,0.0
3640509,,,,,,,,,,,,,,0.0
3640512,,,,,,,,,,,,,,0.0
3640515,,,,,,,,,,,,,,0.0
3640530,,,,,,,,,,,,,,0.0
3640542,,,,,,,,,,,,,,0.0
3640554,,,,,,,,,,,,,,0.0
3640560,,,,,,,,,,,,,,1.0
3640562,,,,,,,,,,,,,,0.0
3640588,,,,,,,,,,,,,,0.0
3640589,14102119.0,0.0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,7b7fd9f1,36d749e5,1.0,0.0,
3640593,,,,,,,,,,,,,,0.0
3640601,14102119.0,0.0,4b0f0061,7195bdd6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c061336e,684581ce,1.0,0.0,
3640614,,,,,,,,,,,,,,0.0
3640620,,,,,,,,,,,,,,0.0
3640630,,,,,,,,,,,,,,1.0
3640634,,,,,,,,,,,,,,0.0
3640637,,,,,,,,,,,,,,0.0
3640644,,,,,,,,,,,,,,0.0
3640649,,,,,,,,,,,,,,0.0
3640652,,,,,,,,,,,,,,0.0
3640673,,,,,,,,,,,,,,0.0
3640682,,,,,,,,,,,,,,0.0
3640697,,,,,,,,,,,,,,0.0
3640700,,,,,,,,,,,,,,0.0
3640711,14102119.0,1.0,85f751fd,c4e18dd6,50e219e0,ffc6ffd0,7801e8d9,0f2161f8,08d90645,486b6a96,158e4944,4.0,0.0,
3640715,14102119.0,1.0,f0ee33c5,9cf7de2f,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,5afcaa0d,daa861e9,1.0,0.0,
3640720,,,,,,,,,,,,,,1.0
3640725,,,,,,,,,,,,,,1.0
3640746,14102119.0,0.0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,eea031db,d787e91b,1.0,0.0,
3640748,,,,,,,,,,,,,,0.0
3640749,,,,,,,,,,,,,,0.0
3640752,14102119.0,1.0,e8f79e60,c4342784,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,204d6643,8a4875bd,1.0,0.0,
3640765,,,,,,,,,,,,,,0.0
3640790,,,,,,,,,,,,,,0.0
3640796,,,,,,,,,,,,,,0.0
3640814,,,,,,,,,,,,,,0.0
3640826,,,,,,,,,,,,,,0.0
3640828,,,,,,,,,,,,,,0.0
3640831,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,5d74d2a4,2347f47a,f95efa07,a99f214a,aa8c09c6,1f0bc64f,1.0,0.0,
3640836,,,,,,,,,,,,,,0.0
3640846,,,,,,,,,,,,,,0.0
3640851,,,,,,,,,,,,,,0.0
3640856,14102119.0,1.0,85f751fd,c4e18dd6,50e219e0,ffc6ffd0,7801e8d9,0f2161f8,263f6a43,be9ad535,d9e3c045,4.0,0.0,
3640857,14102119.0,0.0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,badc69e5,d787e91b,1.0,0.0,
3640868,,,,,,,,,,,,,,0.0
3640869,14102119.0,1.0,856e6d3f,58a89a43,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,7cb45e03,1b01c4ed,1.0,0.0,
3640873,14102119.0,0.0,6399eda6,968765cd,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,57e0cd21,d7bc6ccb,1.0,0.0,
3640894,,,,,,,,,,,,,,0.0
3640896,,,,,,,,,,,,,,0.0
3640900,,,,,,,,,,,,,,0.0
3640902,,,,,,,,,,,,,,0.0
3640903,,,,,,,,,,,,,,0.0
3640919,14102119.0,1.0,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,db67c394,82ddd809,1.0,0.0,
3640939,,,,,,,,,,,,,,0.0
3640942,,,,,,,,,,,,,,1.0
3640950,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,03528b27,2347f47a,8ded1f7a,195edaad,99dd5b08,2b557631,1.0,0.0,
3640957,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,7358e05e,b9528b13,cef3e649,74354858,5e848f98,6f21a189,1.0,0.0,
3640958,,,,,,,,,,,,,,0.0
3640960,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,7358e05e,b9528b13,cef3e649,81721ed9,95a0c604,0eb711ec,1.0,0.0,
3640967,,,,,,,,,,,,,,0.0
3640974,,,,,,,,,,,,,,0.0
3640976,,,,,,,,,,,,,,0.0
3640983,,,,,,,,,,,,,,1.0
3641000,,,,,,,,,,,,,,0.0
3641003,,,,,,,,,,,,,,0.0
3641016,,,,,,,,,,,,,,0.0
3641021,,,,,,,,,,,,,,0.0
3641040,,,,,,,,,,,,,,0.0
3641043,,,,,,,,,,,,,,1.0
3641050,,,,,,,,,,,,,,0.0
3641053,,,,,,,,,,,,,,0.0
3641059,14102119.0,1.0,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,0fb96820,158e4944,1.0,0.0,
3641068,,,,,,,,,,,,,,0.0
3641069,14102119.0,0.0,06a0ac14,77c8e77d,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c8335f09,d31a172e,1.0,0.0,
3641095,,,,,,,,,,,,,,0.0
3641111,,,,,,,,,,,,,,0.0
3641117,,,,,,,,,,,,,,1.0
3641118,,,,,,,,,,,,,,0.0
3641119,,,,,,,,,,,,,,0.0
3641127,,,,,,,,,,,,,,1.0
3641140,14102119.0,0.0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,57cd4006,8a4875bd,1.0,0.0,
3641162,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,7358e05e,b9528b13,cef3e649,71398cf7,98e5efe6,7abbbd5c,1.0,0.0,
3641163,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,7358e05e,b9528b13,cef3e649,4dd54872,1a71cb27,eb1347a0,1.0,0.0,
3641165,,,,,,,,,,,,,,1.0
3641174,,,,,,,,,,,,,,0.0
3641177,14102119.0,1.0,85f751fd,c4e18dd6,50e219e0,aecfd81b,7801e8d9,0f2161f8,fe7c81d5,031040f2,dc15c87e,5.0,0.0,
3641181,,,,,,,,,,,,,,1.0
3641191,,,,,,,,,,,,,,0.0
3641194,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,54c5d545,2347f47a,0f2161f8,a99f214a,85f08d2c,be87996b,1.0,2.0,
3641195,,,,,,,,,,,,,,0.0
3641205,14102119.0,0.0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,aa42be81,56f254f5,1.0,0.0,
3641221,,,,,,,,,,,,,,0.0
3641223,,,,,,,,,,,,,,0.0
3641227,14102119.0,1.0,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,041c1225,84ebbcd4,1.0,0.0,
3641231,,,,,,,,,,,,,,0.0
3641235,,,,,,,,,,,,,,0.0
3641236,,,,,,,,,,,,,,0.0
3641241,,,,,,,,,,,,,,0.0
3641242,,,,,,,,,,,,,,0.0
3641243,,,,,,,,,,,,,,1.0
3641259,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,4dd484a9,c7fd9c64,a0f5f879,1.0,0.0,
3641262,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,7358e05e,b9528b13,cef3e649,8ef43fd1,ce5cb5af,05e70df4,1.0,0.0,
3641268,,,,,,,,,,,,,,0.0
3641278,,,,,,,,,,,,,,0.0
3641282,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,bdf46af7,d9b5648e,0f2161f8,a99f214a,ded76c20,72a00661,1.0,0.0,
3641293,,,,,,,,,,,,,,0.0
3641300,,,,,,,,,,,,,,1.0
3641308,,,,,,,,,,,,,,0.0
3641321,,,,,,,,,,,,,,0.0
3641327,,,,,,,,,,,,,,0.0
3641335,,,,,,,,,,,,,,0.0
3641338,,,,,,,,,,,,,,0.0
3641339,,,,,,,,,,,,,,1.0
3641340,14102119.0,0.0,84c7ba46,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,c357dbff,dc5d58d6,373ecbe6,0.0,0.0,
3641348,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,3bfa19cb,2347f47a,0f2161f8,868dc6dd,9c82312b,2891f384,1.0,0.0,
3641360,,,,,,,,,,,,,,0.0
3641366,,,,,,,,,,,,,,0.0
3641367,,,,,,,,,,,,,,0.0
3641373,,,,,,,,,,,,,,0.0
3641375,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,03528b27,2347f47a,8ded1f7a,452cfe05,3be3802f,1f0bc64f,1.0,0.0,
3641378,14102119.0,0.0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,8bbf0864,76dc4769,1.0,0.0,
3641391,,,,,,,,,,,,,,1.0
3641400,,,,,,,,,,,,,,0.0
3641423,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,f0d41ff1,2347f47a,0f2161f8,a99f214a,cc63c71f,6569eeb3,1.0,0.0,
3641424,,,,,,,,,,,,,,0.0
3641426,,,,,,,,,,,,,,0.0
3641429,,,,,,,,,,,,,,1.0
3641433,,,,,,,,,,,,,,0.0
3641434,,,,,,,,,,,,,,0.0
3641443,14102119.0,1.0,0eb72673,d2f72222,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b781205a,61761ee1,1.0,0.0,
3641445,,,,,,,,,,,,,,0.0
3641457,,,,,,,,,,,,,,0.0
3641461,,,,,,,,,,,,,,0.0
3641475,,,,,,,,,,,,,,0.0
3641477,,,,,,,,,,,,,,0.0
3641479,14102119.0,1.0,222acd54,de0f0f82,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d2f3aea1,8a4875bd,1.0,0.0,
3641482,,,,,,,,,,,,,,0.0
3641496,14102119.0,1.0,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,1d5afb03,84ebbcd4,1.0,0.0,
3641508,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,fb7c70a3,d9b5648e,0f2161f8,935259a0,ea94229e,72a00661,1.0,0.0,
3641511,,,,,,,,,,,,,,0.0
3641514,,,,,,,,,,,,,,0.0
3641537,,,,,,,,,,,,,,0.0
3641544,,,,,,,,,,,,,,0.0
3641582,14102119.0,0.0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,2995075d,8a4875bd,1.0,0.0,
3641589,,,,,,,,,,,,,,1.0
3641593,14102119.0,0.0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,293d3d0d,4ea23a13,1.0,0.0,
3641596,,,,,,,,,,,,,,0.0
3641601,,,,,,,,,,,,,,0.0
3641612,,,,,,,,,,,,,,0.0
3641619,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,a99f214a,246edf17,4ea23a13,1.0,0.0,
3641620,,,,,,,,,,,,,,0.0
3641628,,,,,,,,,,,,,,0.0
3641629,,,,,,,,,,,,,,0.0
3641635,,,,,,,,,,,,,,0.0
3641640,,,,,,,,,,,,,,0.0
3641645,,,,,,,,,,,,,,0.0
3641649,,,,,,,,,,,,,,0.0
3641654,14102119.0,0.0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,518e6295,5096d134,1.0,0.0,
3641658,,,,,,,,,,,,,,0.0
3641659,,,,,,,,,,,,,,1.0
3641667,,,,,,,,,,,,,,1.0
3641668,14102119.0,1.0,ba9aee1b,9eaf88fa,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d0a8a201,78d9bd10,1.0,0.0,
3641674,,,,,,,,,,,,,,0.0
3641693,,,,,,,,,,,,,,0.0
3641717,,,,,,,,,,,,,,1.0
3641718,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,66f5e02e,6f7ca2ba,0f2161f8,a99f214a,a2a2028b,c4cff2ea,1.0,0.0,
3641719,14102119.0,0.0,2b1ddb24,98acf46c,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,7aa71643,be74e6fe,1.0,0.0,
3641725,,,,,,,,,,,,,,0.0
3641736,,,,,,,,,,,,,,0.0
3641737,,,,,,,,,,,,,,1.0
3641760,,,,,,,,,,,,,,1.0
3641768,,,,,,,,,,,,,,0.0
3641769,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,7358e05e,b9528b13,cef3e649,f0fd921f,6821495a,3f3d3fa8,1.0,0.0,
3641775,,,,,,,,,,,,,,0.0
3641781,14102119.0,1.0,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,22dfe22a,43836a96,1.0,0.0,
3641784,,,,,,,,,,,,,,0.0
3641789,,,,,,,,,,,,,,0.0
3641793,,,,,,,,,,,,,,0.0
3641802,,,,,,,,,,,,,,0.0
3641806,,,,,,,,,,,,,,0.0
3641810,,,,,,,,,,,,,,0.0
3641811,,,,,,,,,,,,,,0.0
3641819,14102119.0,1.0,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,01b6b8d7,158e4944,1.0,0.0,
3641820,,,,,,,,,,,,,,0.0
3641823,,,,,,,,,,,,,,0.0
3641825,,,,,,,,,,,,,,0.0
3641828,14102119.0,0.0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,cefc65fa,1df52df3,1.0,0.0,
3641840,,,,,,,,,,,,,,0.0
3641852,,,,,,,,,,,,,,1.0
3641866,,,,,,,,,,,,,,0.0
3641874,,,,,,,,,,,,,,0.0
3641875,,,,,,,,,,,,,,0.0
3641877,14102119.0,1.0,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,df57b928,1610002a,1.0,0.0,
3641884,,,,,,,,,,,,,,0.0
3641892,14102119.0,0.0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,78ef3f3d,78d9bd10,1.0,0.0,
3641896,,,,,,,,,,,,,,0.0
3641899,,,,,,,,,,,,,,0.0
3641905,,,,,,,,,,,,,,0.0
3641911,,,,,,,,,,,,,,0.0
3641926,,,,,,,,,,,,,,0.0
3641935,,,,,,,,,,,,,,1.0
3641936,,,,,,,,,,,,,,0.0
3641960,,,,,,,,,,,,,,0.0
3641962,,,,,,,,,,,,,,0.0
3641964,,,,,,,,,,,,,,1.0
3641973,,,,,,,,,,,,,,0.0
3641979,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,39947756,2347f47a,cef3e649,ccd6a4a4,cafcf96c,3e72ab6c,1.0,2.0,
3642012,,,,,,,,,,,,,,0.0
3642019,,,,,,,,,,,,,,0.0
3642036,,,,,,,,,,,,,,0.0
3642038,,,,,,,,,,,,,,0.0
3642045,,,,,,,,,,,,,,0.0
3642047,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,de97da65,33da2e74,0f2161f8,a99f214a,6394f6f6,9bbdb88c,1.0,0.0,
3642053,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,a4db51b9,d9b5648e,0f2161f8,a99f214a,505541aa,72a00661,1.0,0.0,
3642054,,,,,,,,,,,,,,0.0
3642058,,,,,,,,,,,,,,0.0
3642070,,,,,,,,,,,,,,0.0
3642087,,,,,,,,,,,,,,0.0
3642098,,,,,,,,,,,,,,1.0
3642102,14102119.0,0.0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,0a37cbcb,2203a096,1.0,0.0,
3642122,,,,,,,,,,,,,,0.0
3642128,,,,,,,,,,,,,,0.0
3642136,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,98fed791,d9b5648e,0f2161f8,a99f214a,79bc3533,cd63b0bb,1.0,0.0,
3642139,14102119.0,0.0,9a977531,a434fa42,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b06f6b02,46d98882,1.0,0.0,
3642142,,,,,,,,,,,,,,0.0
3642144,,,,,,,,,,,,,,0.0
3642184,,,,,,,,,,,,,,1.0
3642194,,,,,,,,,,,,,,0.0
3642202,,,,,,,,,,,,,,0.0
3642203,,,,,,,,,,,,,,0.0
3642207,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,54c5d545,2347f47a,0f2161f8,5da93045,590d558b,61761ee1,1.0,0.0,
3642212,,,,,,,,,,,,,,0.0
3642218,,,,,,,,,,,,,,0.0
3642224,14102119.0,0.0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,80406c52,8a4875bd,1.0,0.0,
3642232,,,,,,,,,,,,,,0.0
3642235,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,e2a1ca37,2347f47a,8ded1f7a,f05eedb7,24bf4133,1f0bc64f,1.0,0.0,
3642244,,,,,,,,,,,,,,0.0
3642250,,,,,,,,,,,,,,0.0
3642255,,,,,,,,,,,,,,0.0
3642256,,,,,,,,,,,,,,0.0
3642275,,,,,,,,,,,,,,0.0
3642283,,,,,,,,,,,,,,0.0
3642295,,,,,,,,,,,,,,0.0
3642297,,,,,,,,,,,,,,0.0
3642301,,,,,,,,,,,,,,0.0
3642311,,,,,,,,,,,,,,1.0
3642318,,,,,,,,,,,,,,0.0
3642343,,,,,,,,,,,,,,1.0
3642367,,,,,,,,,,,,,,0.0
3642380,,,,,,,,,,,,,,0.0
3642388,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,7ed30f6c,d1b0c050,1.0,0.0,
3642391,,,,,,,,,,,,,,1.0
3642395,,,,,,,,,,,,,,0.0
3642398,14102119.0,1.0,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,5531a330,d787e91b,1.0,0.0,
3642412,,,,,,,,,,,,,,1.0
3642418,14102119.0,0.0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,0fc74ee0,8a4875bd,1.0,0.0,
3642425,,,,,,,,,,,,,,1.0
3642433,,,,,,,,,,,,,,0.0
3642439,,,,,,,,,,,,,,0.0
3642444,,,,,,,,,,,,,,0.0
3642448,14102119.0,1.0,856e6d3f,58a89a43,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,46407f4d,cf9fb88b,1.0,0.0,
3642453,14102119.0,0.0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,f93e6d3f,cd5b1559,1.0,2.0,
